Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0,-644.513362522251,292,101326,7.52649291721219,292.372105263158,4964000,0.114444252929656
0.0008,6128.38713679151,2856.85996841565,3213973.2702726,7.14321320274219,292.372105263158,4964000,0.114453575930273
0.0016,6794.77297535707,2440.3966843566,2626069.93336122,7.39764017562328,292.372105263158,4964000,0.114461975651491
0.0024,6232.45412904305,3015.37687726288,2879541.72632147,7.30315759693098,292.372105263158,4964000,0.114470986577012
0.0032,5981.34300930865,3063.3648362186,2919027.5913694,7.28638400255572,292.372105263158,4964000,0.114479770974922
0.004,6095.4381862606,3050.00889106062,2977365.90316189,7.26119664285221,292.372105263158,4964000,0.114488517203285
0.0048,6260.90513609267,3098.31059212404,3040819.391893,7.23159353455036,292.372105263158,4964000,0.114497205178009
0.0056,6297.20309857077,3141.94348823937,3048588.06679215,7.22786141287074,292.372105263158,4964000,0.114505824534407
0.0064,6237.49137448851,3145.43159912986,3019087.50716098,7.24191177723537,292.372105263158,4964000,0.114514437062635
0.0072,6178.97933671887,3125.46190629743,2994978.68030447,7.25314766439184,292.372105263158,4964000,0.114523085185431
0.008,6169.14509538523,3111.03842004734,2993731.6019974,7.25372281132696,292.372105263158,4964000,0.114531762256753
0.0088,6191.32893811452,3111.29155575536,3004864.20230903,7.24714473571355,292.35048598308,4961535.40207109,0.114859873149068
0.0096,6210.39545807346,3119.0468071839,3012800.88791417,7.24343400647688,292.35048598308,4961535.40207109,0.114868584816667
0.0104,6211.31104253957,3123.53726821141,3012238.24965968,7.24369785747908,292.35048598308,4961535.40207109,0.114877289663939
0.0112,6202.40730703445,3122.86090893726,3008123.11561728,7.24562397804752,292.35048598308,4961535.40207109,0.114885997243902
0.012,6195.87637482021,3120.17233637414,3005684.3897638,7.24676238201477,292.35048598308,4961535.40207109,0.114894711556242
0.0128,6195.80826112017,3118.71856513507,3006154.15447572,7.24654327173543,292.35048598308,4961535.40207109,0.114903430710446
0.0136,6198.91075150352,3119.08758765001,3007757.50396984,7.24579479175772,292.35048598308,4961535.40207109,0.11491215144163
0.0144,6200.96327461917,3120.07592708379,3008692.61723357,7.24535780498312,292.35048598308,4961535.40207109,0.114920872475694
0.0152,6200.7519797922,3120.58588807408,3008621.2901173,7.24539114858016,292.35048598308,4961535.40207109,0.114929594562316
0.016,6199.53372074496,3120.46827246215,3008200.56616343,7.24558778659126,292.35048598308,4961535.40207109,0.114938318834323
0.0168,6198.75041160815,3120.16344730402,3008039.23274281,7.24566317264069,292.35048598308,4961535.40207109,0.114947045685934
0.0176,6198.75489697412,3120.04109713048,3008224.20971038,7.2441649357118,292.329069513288,4959095.78548825,0.115271665481446
0.0184,6198.55236365246,3120.67847299797,3008328.30568865,7.24411620589967,292.329069513288,4959095.78548825,0.115280437407324
0.0192,6197.46198415624,3120.51826405596,3007881.83447603,7.24432518041281,292.329069513288,4959095.78548825,0.115289211332576
0.02,6196.68559489898,3120.22802373337,3007696.84545542,7.24441174363595,292.329069513288,4959095.78548825,0.115297987882368
0.0208,6196.60514228943,3120.09569394751,3007843.05300619,7.24434332878836,292.329069513288,4959095.78548825,0.115306766761133
0.0216,6196.86924696928,3120.16169464895,3008112.00329927,7.24421745755614,292.329069513288,4959095.78548825,0.115315547594046
0.0224,6197.02315455273,3120.29617260482,3008309.13042658,7.24412518260987,292.329069513288,4959095.78548825,0.115324330242424
0.0232,6196.93162149327,3120.37994551768,3008396.74968593,7.24408416336589,292.329069513288,4959095.78548825,0.115333114788308
0.024,6196.72819859265,3120.39540292768,3008445.04215829,7.24406155382757,292.329069513288,4959095.78548825,0.115341901356663
0.0248,6196.56971576087,3120.38951933283,3008520.36989973,7.2440262851486,292.329069513288,4959095.78548825,0.11535068999286
0.0256,6196.49658050608,3120.40272892173,3008633.20068677,7.24397345335734,292.329069513288,4959095.78548825,0.115359480666902
0.0264,6196.45917699244,3120.43930462683,3008758.05350345,7.24253901315395,292.30723934453,4956650.80658735,0.115685968498239
0.0272,6195.89435662743,3121.01092722721,3008690.45809372,7.24257071880252,292.30723934453,4956650.80658735,0.115694804254281
