Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0,-645.786976761706,292,101324,4.54100881441457,292.372105263158,4964000,0.0748849663504042
0.0008,2765.94608680217,1785.08738760652,1629649.02523208,4.59044353884964,292.372105263158,4964000,0.0748872198646328
0.0016,4466.68686164138,1959.35736543055,1939982.00969263,4.56452468806387,292.372105263158,4964000,0.0748895230366275
0.0024,4691.69496587245,2652.64154529007,2274932.56535139,4.5234969701271,292.372105263158,4964000,0.0748918005973678
0.0032,4521.27102123986,2911.80473284237,2265963.36972133,4.524778011814,292.372105263158,4964000,0.0748940377125018
0.004,4254.65575281323,2890.16085305755,2149153.28222954,4.54041887032158,292.372105263158,4964000,0.0748962764059883
0.0048,4093.312227941,2818.23876888053,2083964.77009104,4.54863135414155,292.372105263158,4964000,0.0748985309177432
0.0056,4080.4319305532,2787.1292203562,2085166.71573657,4.54849123608571,292.372105263158,4964000,0.074900793909916
0.0064,4134.01492497484,2794.18816801426,2109880.75283333,4.54546568937507,292.372105263158,4964000,0.0749030570806265
0.0072,4174.02199139053,2811.5218757138,2125386.76081169,4.54350182578522,292.372105263158,4964000,0.0749053175589042
0.008,4178.22927090897,2820.57990054114,2125568.20322181,4.54347862272364,292.372105263158,4964000,0.0749075764011531
0.0088,4164.26603051337,2819.38302936193,2119246.20769769,4.54428404867034,292.372105263158,4964000,0.074909835537079
0.0096,4153.18434918547,2814.81847124898,2115025.81735833,4.54481824163786,292.372105263158,4964000,0.0749120957910159
0.0104,4151.60597234149,2812.32455326222,2114927.1598275,4.54483069569746,292.372105263158,4964000,0.0749143568935986
0.0112,4155.14425246206,2812.58098105201,2116685.69973644,4.54460847672691,292.372105263158,4964000,0.0749166183258968
0.012,4158.13769603586,2813.80699258733,2117969.00429568,4.54444600475145,292.372105263158,4964000,0.0749188798544
0.0128,4158.64303901018,2814.53870146587,2118165.18239877,4.54415418320135,292.362105263158,4962860,0.0750782428232603
0.0136,4157.62346147785,2814.6770580189,2117802.63361765,4.54420015655509,292.362105263158,4962860,0.0750805172362403
0.0144,4156.43358329759,2814.26107696214,2117396.61454629,4.54425161771471,292.362105263158,4962860,0.0750827920144362
0.0152,4156.04990768702,2813.98317813782,2117378.87405411,4.54425386565531,292.362105263158,4962860,0.0750850671634304
0.016,4156.26449242335,2813.96993515233,2117596.82253518,4.54422624545246,292.362105263158,4962860,0.0750873426340226
0.0168,4156.54999102324,2814.0920593616,2117819.42843905,4.54419802732693,292.362105263158,4962860,0.0750896183963632
0.0176,4156.63449801757,2814.1984147927,2117948.82235948,4.54418162143009,292.362105263158,4962860,0.0750918944499088
0.0184,4156.55504866764,2814.23815700031,2118013.82342444,4.54417337893264,292.362105263158,4962860,0.0750941708065498
0.0192,4156.44946601914,2814.23989756209,2118074.34871452,4.54416570339229,292.362105263158,4962860,0.0750964474745277
0.02,4156.39446086083,2814.24388323522,2118158.51780656,4.54388789418888,292.352105263158,4961720,0.0752557471247862
0.0208,4156.29043249918,2814.40571224144,2118229.13778304,4.54387892985677,292.352105263158,4961720,0.0752580368481459
0.0216,4155.94513175008,2814.30933772228,2118158.63400945,4.543887879439,292.352105263158,4961720,0.075260326883968
0.0224,4155.74280077891,2814.23368525374,2118182.98948104,4.54388478790126,292.352105263158,4961720,0.0752626172503774
0.0232,4155.72715786252,2814.22224195447,2118288.85716939,4.54387134860886,292.352105263158,4961720,0.0752649079353037
0.024,4155.78376486553,2814.26121860055,2118418.49025192,4.5438548900411,292.352105263158,4961720,0.0752671989283786
0.0248,4155.81141004362,2814.31108158357,2118531.74623658,4.54384050859555,292.352105263158,4961720,0.0752694902266188
0.0256,4155.78934417219,2814.34748161077,2118623.96124595,4.54382879748362,292.352105263158,4961720,0.0752717818321802
0.0264,4155.74588652015,2814.37029930782,2118708.7076885,4.54355067164506,292.342105263158,4960580,0.0754310183652078
0.0272,4155.61529711474,2814.52991690517,2118765.98608972,4.54354339031367,292.342105263158,4960580,0.0754333230233037
0.028,4155.24853442247,2814.42522905896,2118686.33521705,4.54355351553325,292.342105263158,4960580,0.0754356279977412
0.0288,4155.04163756612,2814.34399439433,2118708.64208128,4.54355067998487,292.342105263158,4960580,0.07543793330625
0.0296,4155.03155026403,2814.33195655779,2118816.23087247,4.5435370026843,292.342105263158,4960580,0.0754402389357479
0.0304,4155.09383049078,2814.37254219018,2118947.27297386,4.54352034141132,292.342105263158,4960580,0.0754425448752963
0.0312,4155.12327970726,2814.42355789918,2119060.24976185,4.54350597487899,292.342105263158,4960580,0.0754448511219282
0.032,4155.10035922508,2814.45995512254,2119151.16516597,4.54349441229663,292.342105263158,4960580,0.0754471576780349
