Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	4.5000	1191.5	0.00083927	24.472	28.248	0.12805	0.94191	1.7209	1059.0	-0.24198	undefined	undefined	liquid
201.00	4.5000	1188.5	0.00084139	26.184	29.970	0.13664	0.94090	1.7223	1052.8	-0.23971	undefined	undefined	liquid
202.00	4.5000	1185.5	0.00084353	27.897	31.693	0.14519	0.93991	1.7238	1046.5	-0.23737	undefined	undefined	liquid
203.00	4.5000	1182.5	0.00084569	29.612	33.418	0.15371	0.93894	1.7253	1040.3	-0.23498	undefined	undefined	liquid
204.00	4.5000	1179.4	0.00084787	31.328	35.144	0.16219	0.93799	1.7269	1034.1	-0.23253	undefined	undefined	liquid
205.00	4.5000	1176.4	0.00085007	33.046	36.871	0.17064	0.93706	1.7286	1027.9	-0.23001	undefined	undefined	liquid
206.00	4.5000	1173.3	0.00085228	34.766	38.601	0.17906	0.93615	1.7304	1021.7	-0.22744	undefined	undefined	liquid
207.00	4.5000	1170.2	0.00085452	36.487	40.332	0.18744	0.93525	1.7322	1015.5	-0.22479	undefined	undefined	liquid
208.00	4.5000	1167.2	0.00085678	38.210	42.065	0.19579	0.93437	1.7341	1009.3	-0.22209	undefined	undefined	liquid
209.00	4.5000	1164.1	0.00085906	39.935	43.800	0.20411	0.93351	1.7360	1003.1	-0.21931	undefined	undefined	liquid
210.00	4.5000	1161.0	0.00086135	41.661	45.537	0.21241	0.93266	1.7381	996.85	-0.21647	undefined	undefined	liquid
211.00	4.5000	1157.8	0.00086368	43.390	47.277	0.22067	0.93184	1.7402	990.64	-0.21355	undefined	undefined	liquid
212.00	4.5000	1154.7	0.00086602	45.121	49.018	0.22890	0.93102	1.7424	984.43	-0.21057	undefined	undefined	liquid
213.00	4.5000	1151.6	0.00086838	46.854	50.761	0.23710	0.93023	1.7447	978.22	-0.20751	undefined	undefined	liquid
214.00	4.5000	1148.4	0.00087077	48.589	52.507	0.24528	0.92945	1.7470	972.01	-0.20437	undefined	undefined	liquid
215.00	4.5000	1145.2	0.00087319	50.326	54.255	0.25343	0.92869	1.7494	965.79	-0.20116	undefined	undefined	liquid
