Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	4.0000	1190.7	0.00083984	24.681	28.041	0.12911	0.94166	1.7227	1056.4	-0.24082	undefined	undefined	liquid
201.00	4.0000	1187.7	0.00084198	26.396	29.764	0.13771	0.94065	1.7241	1050.1	-0.23850	undefined	undefined	liquid
202.00	4.0000	1184.7	0.00084413	28.112	31.489	0.14627	0.93967	1.7257	1043.9	-0.23614	undefined	undefined	liquid
203.00	4.0000	1181.6	0.00084630	29.830	33.215	0.15480	0.93870	1.7272	1037.7	-0.23371	undefined	undefined	liquid
204.00	4.0000	1178.6	0.00084849	31.549	34.943	0.16329	0.93775	1.7289	1031.4	-0.23121	undefined	undefined	liquid
205.00	4.0000	1175.5	0.00085070	33.270	36.673	0.17175	0.93682	1.7306	1025.2	-0.22866	undefined	undefined	liquid
206.00	4.0000	1172.4	0.00085293	34.993	38.405	0.18017	0.93591	1.7324	1018.9	-0.22604	undefined	undefined	liquid
207.00	4.0000	1169.3	0.00085518	36.717	40.138	0.18857	0.93501	1.7343	1012.7	-0.22336	undefined	undefined	liquid
208.00	4.0000	1166.3	0.00085745	38.443	41.873	0.19693	0.93413	1.7363	1006.5	-0.22061	undefined	undefined	liquid
209.00	4.0000	1163.1	0.00085974	40.172	43.611	0.20526	0.93327	1.7383	1000.2	-0.21779	undefined	undefined	liquid
210.00	4.0000	1160.0	0.00086205	41.902	45.350	0.21356	0.93243	1.7404	994.00	-0.21490	undefined	undefined	liquid
211.00	4.0000	1156.9	0.00086439	43.634	47.091	0.22184	0.93160	1.7426	987.76	-0.21194	undefined	undefined	liquid
212.00	4.0000	1153.7	0.00086675	45.368	48.835	0.23008	0.93079	1.7448	981.52	-0.20890	undefined	undefined	liquid
213.00	4.0000	1150.6	0.00086913	47.104	50.581	0.23830	0.93000	1.7471	975.28	-0.20579	undefined	undefined	liquid
214.00	4.0000	1147.4	0.00087153	48.843	52.329	0.24649	0.92922	1.7496	969.04	-0.20260	undefined	undefined	liquid
215.00	4.0000	1144.2	0.00087396	50.584	54.080	0.25465	0.92846	1.7521	962.80	-0.19933	undefined	undefined	liquid
216.00	4.0000	1141.0	0.00087641	52.328	55.833	0.26278	0.92772	1.7546	956.55	-0.19598	undefined	undefined	liquid
217.00	4.0000	1137.8	0.00087889	54.074	57.589	0.27090	0.92699	1.7573	950.30	-0.19255	undefined	undefined	liquid
218.00	4.0000	1134.6	0.00088139	55.823	59.348	0.27898	0.92627	1.7601	944.05	-0.18902	undefined	undefined	liquid
219.00	4.0000	1131.3	0.00088392	57.574	61.110	0.28704	0.92557	1.7629	937.80	-0.18541	undefined	undefined	liquid
220.00	4.0000	1128.1	0.00088648	59.328	62.874	0.29508	0.92489	1.7659	931.54	-0.18171	undefined	undefined	liquid
221.00	4.0000	1124.8	0.00088907	61.085	64.641	0.30310	0.92422	1.7689	925.28	-0.17792	undefined	undefined	liquid
222.00	4.0000	1121.5	0.00089168	62.845	66.412	0.31109	0.92356	1.7720	919.01	-0.17403	undefined	undefined	liquid
223.00	4.0000	1118.2	0.00089432	64.608	68.186	0.31906	0.92292	1.7753	912.74	-0.17004	undefined	undefined	liquid
224.00	4.0000	1114.8	0.00089699	66.374	69.962	0.32701	0.92229	1.7786	906.46	-0.16595	undefined	undefined	liquid
225.00	4.0000	1111.5	0.00089970	68.144	71.743	0.33494	0.92168	1.7820	900.17	-0.16175	undefined	undefined	liquid
226.00	4.0000	1108.1	0.00090243	69.917	73.527	0.34285	0.92108	1.7856	893.88	-0.15744	undefined	undefined	liquid
227.00	4.0000	1104.7	0.00090519	71.693	75.314	0.35074	0.92050	1.7892	887.58	-0.15303	undefined	undefined	liquid
228.00	4.0000	1101.3	0.00090799	73.473	77.105	0.35862	0.91993	1.7930	881.27	-0.14849	undefined	undefined	liquid
229.00	4.0000	1097.9	0.00091082	75.257	78.900	0.36647	0.91937	1.7968	874.96	-0.14384	undefined	undefined	liquid
230.00	4.0000	1094.5	0.00091369	77.044	80.699	0.37431	0.91883	1.8008	868.63	-0.13906	undefined	undefined	liquid
231.00	4.0000	1091.0	0.00091659	78.835	82.502	0.38213	0.91830	1.8050	862.30	-0.13416	undefined	undefined	liquid
232.00	4.0000	1087.5	0.00091953	80.631	84.309	0.38994	0.91778	1.8092	855.96	-0.12913	undefined	undefined	liquid
233.00	4.0000	1084.0	0.00092250	82.430	86.120	0.39773	0.91728	1.8136	849.60	-0.12396	undefined	undefined	liquid
234.00	4.0000	1080.5	0.00092552	84.234	87.936	0.40550	0.91679	1.8181	843.24	-0.11864	undefined	undefined	liquid
235.00	4.0000	1076.9	0.00092857	86.042	89.756	0.41327	0.91631	1.8227	836.86	-0.11319	undefined	undefined	liquid
