Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	2.0000	1187.4	0.00084219	25.533	27.217	0.13341	0.94068	1.7301	1045.9	-0.23597	undefined	undefined	liquid
201.00	2.0000	1184.3	0.00084437	27.260	28.948	0.14204	0.93968	1.7317	1039.5	-0.23352	undefined	undefined	liquid
202.00	2.0000	1181.2	0.00084657	28.988	30.681	0.15064	0.93870	1.7334	1033.2	-0.23100	undefined	undefined	liquid
203.00	2.0000	1178.2	0.00084879	30.718	32.415	0.15921	0.93774	1.7352	1026.8	-0.22841	undefined	undefined	liquid
204.00	2.0000	1175.1	0.00085103	32.449	34.151	0.16774	0.93679	1.7371	1020.5	-0.22576	undefined	undefined	liquid
205.00	2.0000	1171.9	0.00085329	34.183	35.889	0.17624	0.93587	1.7390	1014.1	-0.22304	undefined	undefined	liquid
206.00	2.0000	1168.8	0.00085557	35.918	37.629	0.18470	0.93496	1.7411	1007.8	-0.22025	undefined	undefined	liquid
207.00	2.0000	1165.7	0.00085787	37.656	39.372	0.19314	0.93407	1.7432	1001.4	-0.21739	undefined	undefined	liquid
208.00	2.0000	1162.5	0.00086019	39.395	41.116	0.20155	0.93320	1.7454	995.09	-0.21446	undefined	undefined	liquid
209.00	2.0000	1159.4	0.00086254	41.137	42.862	0.20992	0.93235	1.7476	988.74	-0.21145	undefined	undefined	liquid
210.00	2.0000	1156.2	0.00086491	42.881	44.611	0.21827	0.93151	1.7500	982.39	-0.20836	undefined	undefined	liquid
211.00	2.0000	1153.0	0.00086731	44.628	46.362	0.22659	0.93069	1.7524	976.04	-0.20519	undefined	undefined	liquid
212.00	2.0000	1149.8	0.00086973	46.377	48.116	0.23488	0.92989	1.7549	969.68	-0.20195	undefined	undefined	liquid
213.00	2.0000	1146.6	0.00087217	48.128	49.872	0.24314	0.92910	1.7576	963.32	-0.19862	undefined	undefined	liquid
