Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	0.50000	1184.8	0.00084400	26.187	26.609	0.13669	0.93996	1.7360	1037.8	-0.23216	undefined	undefined	liquid
201.00	0.50000	1181.7	0.00084622	27.923	28.346	0.14535	0.93897	1.7378	1031.4	-0.22958	undefined	undefined	liquid
202.00	0.50000	1178.6	0.00084845	29.660	30.084	0.15398	0.93799	1.7396	1024.9	-0.22694	undefined	undefined	liquid
203.00	0.50000	1175.5	0.00085071	31.400	31.825	0.16258	0.93703	1.7416	1018.5	-0.22423	undefined	undefined	liquid
204.00	0.50000	1172.4	0.00085299	33.141	33.568	0.17114	0.93609	1.7436	1012.1	-0.22145	undefined	undefined	liquid
205.00	0.50000	1169.2	0.00085529	34.885	35.312	0.17967	0.93517	1.7457	1005.6	-0.21860	undefined	undefined	liquid
206.00	0.50000	1166.0	0.00085761	36.630	37.059	0.18817	0.93427	1.7479	999.22	-0.21567	undefined	undefined	liquid
207.00	0.50000	1162.9	0.00085995	38.378	38.808	0.19664	0.93339	1.7502	992.78	-0.21266	undefined	undefined	liquid
208.00	0.50000	1159.7	0.00086232	40.128	40.560	0.20508	0.93252	1.7526	986.35	-0.20958	undefined	undefined	liquid
209.00	0.50000	1156.5	0.00086471	41.881	42.313	0.21349	0.93167	1.7551	979.91	-0.20641	undefined	undefined	liquid
210.00	0.50000	1153.2	0.00086713	43.636	44.070	0.22188	0.93084	1.7576	973.46	-0.20317	undefined	undefined	liquid
211.00	0.50000	1150.0	0.00086957	45.394	45.829	0.23023	0.93003	1.7603	967.01	-0.19983	undefined	undefined	liquid
212.00	0.50000	1146.7	0.00087204	47.154	47.590	0.23856	0.92923	1.7630	960.56	-0.19641	undefined	undefined	liquid
213.00	0.50000	1143.5	0.00087453	48.918	49.355	0.24687	0.92845	1.7659	954.10	-0.19290	undefined	undefined	liquid
214.00	0.50000	1140.2	0.00087705	50.684	51.122	0.25514	0.92769	1.7688	947.63	-0.18930	undefined	undefined	liquid
215.00	0.50000	1136.9	0.00087960	52.453	52.893	0.26340	0.92695	1.7719	941.16	-0.18560	undefined	undefined	liquid
216.00	0.50000	1133.6	0.00088217	54.225	54.666	0.27163	0.92622	1.7750	934.68	-0.18180	undefined	undefined	liquid
216.73	0.50000	1131.1	0.00088406	55.513	55.955	0.27759	0.92570	1.7774	929.97	-0.17898	undefined	undefined	liquid
