Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	1.5000	1186.5	0.00084279	25.749	27.014	0.13450	0.94044	1.7320	1043.2	-0.23472	undefined	undefined	liquid
201.00	1.5000	1183.5	0.00084498	27.479	28.747	0.14314	0.93944	1.7337	1036.8	-0.23223	undefined	undefined	liquid
202.00	1.5000	1180.4	0.00084719	29.210	30.481	0.15175	0.93846	1.7355	1030.4	-0.22967	undefined	undefined	liquid
203.00	1.5000	1177.3	0.00084942	30.943	32.218	0.16032	0.93750	1.7373	1024.1	-0.22704	undefined	undefined	liquid
204.00	1.5000	1174.2	0.00085167	32.678	33.956	0.16886	0.93656	1.7392	1017.7	-0.22435	undefined	undefined	liquid
205.00	1.5000	1171.0	0.00085395	34.415	35.696	0.17737	0.93563	1.7412	1011.3	-0.22158	undefined	undefined	liquid
206.00	1.5000	1167.9	0.00085624	36.154	37.438	0.18585	0.93473	1.7433	1005.0	-0.21875	undefined	undefined	liquid
207.00	1.5000	1164.7	0.00085856	37.895	39.183	0.19430	0.93384	1.7455	998.58	-0.21584	undefined	undefined	liquid
208.00	1.5000	1161.6	0.00086090	39.638	40.929	0.20272	0.93297	1.7477	992.20	-0.21286	undefined	undefined	liquid
209.00	1.5000	1158.4	0.00086326	41.383	42.678	0.21111	0.93212	1.7501	985.82	-0.20980	undefined	undefined	liquid
210.00	1.5000	1155.2	0.00086564	43.131	44.429	0.21946	0.93129	1.7525	979.44	-0.20666	undefined	undefined	liquid
211.00	1.5000	1152.0	0.00086805	44.881	46.183	0.22780	0.93047	1.7550	973.05	-0.20344	undefined	undefined	liquid
212.00	1.5000	1148.8	0.00087049	46.634	47.939	0.23610	0.92967	1.7576	966.66	-0.20013	undefined	undefined	liquid
213.00	1.5000	1145.5	0.00087295	48.389	49.698	0.24438	0.92888	1.7603	960.27	-0.19674	undefined	undefined	liquid
214.00	1.5000	1142.3	0.00087543	50.147	51.460	0.25263	0.92812	1.7631	953.87	-0.19327	undefined	undefined	liquid
215.00	1.5000	1139.0	0.00087795	51.908	53.225	0.26085	0.92737	1.7659	947.47	-0.18970	undefined	undefined	liquid
216.00	1.5000	1135.7	0.00088048	53.671	54.992	0.26906	0.92663	1.7689	941.06	-0.18604	undefined	undefined	liquid
217.00	1.5000	1132.4	0.00088305	55.438	56.762	0.27723	0.92591	1.7720	934.64	-0.18228	undefined	undefined	liquid
218.00	1.5000	1129.1	0.00088565	57.208	58.536	0.28539	0.92521	1.7752	928.22	-0.17842	undefined	undefined	liquid
219.00	1.5000	1125.8	0.00088827	58.980	60.313	0.29352	0.92452	1.7785	921.79	-0.17447	undefined	undefined	liquid
220.00	1.5000	1122.4	0.00089092	60.757	62.093	0.30163	0.92385	1.7819	915.35	-0.17040	undefined	undefined	liquid
221.00	1.5000	1119.1	0.00089361	62.536	63.877	0.30972	0.92319	1.7854	908.91	-0.16623	undefined	undefined	liquid
222.00	1.5000	1115.7	0.00089633	64.319	65.664	0.31779	0.92255	1.7890	902.46	-0.16195	undefined	undefined	liquid
223.00	1.5000	1112.3	0.00089907	66.106	67.455	0.32584	0.92192	1.7927	895.99	-0.15756	undefined	undefined	liquid
224.00	1.5000	1108.8	0.00090186	67.896	69.249	0.33387	0.92131	1.7966	889.52	-0.15304	undefined	undefined	liquid
225.00	1.5000	1105.4	0.00090467	69.691	71.048	0.34188	0.92071	1.8006	883.04	-0.14840	undefined	undefined	liquid
226.00	1.5000	1101.9	0.00090752	71.489	72.850	0.34987	0.92013	1.8047	876.54	-0.14363	undefined	undefined	liquid
227.00	1.5000	1098.4	0.00091041	73.292	74.657	0.35785	0.91956	1.8090	870.04	-0.13874	undefined	undefined	liquid
228.00	1.5000	1094.9	0.00091333	75.098	76.468	0.36581	0.91901	1.8133	863.52	-0.13370	undefined	undefined	liquid
229.00	1.5000	1091.4	0.00091630	76.910	78.284	0.37376	0.91847	1.8179	856.99	-0.12853	undefined	undefined	liquid
230.00	1.5000	1087.8	0.00091930	78.725	80.104	0.38169	0.91795	1.8225	850.44	-0.12320	undefined	undefined	liquid
231.00	1.5000	1084.2	0.00092234	80.546	81.929	0.38960	0.91744	1.8274	843.88	-0.11773	undefined	undefined	liquid
232.00	1.5000	1080.6	0.00092542	82.371	83.759	0.39751	0.91694	1.8324	837.30	-0.11210	undefined	undefined	liquid
233.00	1.5000	1077.0	0.00092854	84.201	85.594	0.40540	0.91646	1.8375	830.71	-0.10630	undefined	undefined	liquid
234.00	1.5000	1073.3	0.00093171	86.037	87.434	0.41328	0.91600	1.8428	824.10	-0.10034	undefined	undefined	liquid
235.00	1.5000	1069.6	0.00093493	87.877	89.280	0.42115	0.91554	1.8483	817.47	-0.094196	undefined	undefined	liquid
236.00	1.5000	1065.9	0.00093819	89.724	91.131	0.42901	0.91511	1.8540	810.82	-0.087870	undefined	undefined	liquid
237.00	1.5000	1062.1	0.00094150	91.576	92.988	0.43686	0.91468	1.8599	804.15	-0.081352	undefined	undefined	liquid
238.00	1.5000	1058.4	0.00094486	93.433	94.851	0.44471	0.91428	1.8660	797.46	-0.074635	undefined	undefined	liquid
239.00	1.5000	1054.6	0.00094827	95.297	96.720	0.45254	0.91388	1.8723	790.74	-0.067709	undefined	undefined	liquid
240.00	1.5000	1050.7	0.00095173	97.168	98.595	0.46038	0.91350	1.8788	784.00	-0.060565	undefined	undefined	liquid
241.00	1.5000	1046.8	0.00095525	99.045	100.48	0.46820	0.91314	1.8855	777.24	-0.053193	undefined	undefined	liquid
242.00	1.5000	1042.9	0.00095883	100.93	102.37	0.47602	0.91279	1.8925	770.45	-0.045583	undefined	undefined	liquid
243.00	1.5000	1039.0	0.00096246	102.82	104.26	0.48384	0.91246	1.8998	763.63	-0.037725	undefined	undefined	liquid
244.00	1.5000	1035.0	0.00096616	104.72	106.17	0.49166	0.91214	1.9073	756.78	-0.029605	undefined	undefined	liquid
245.00	1.5000	1031.0	0.00096992	106.62	108.08	0.49948	0.91184	1.9151	749.90	-0.021211	undefined	undefined	liquid
246.00	1.5000	1027.0	0.00097375	108.54	110.00	0.50729	0.91156	1.9232	742.99	-0.012530	undefined	undefined	liquid
247.00	1.5000	1022.9	0.00097764	110.46	111.92	0.51511	0.91129	1.9316	736.04	-0.0035459	undefined	undefined	liquid
247.23	1.5000	1021.9	0.00097855	110.90	112.37	0.51692	0.91123	1.9336	734.43	-0.0014252	undefined	undefined	liquid
247.23	1.5000	38.825	0.025757	361.24	399.87	1.6798	0.78103	1.2290	219.61	18.883	undefined	undefined	vapor
248.00	1.5000	38.597	0.025908	361.95	400.81	1.6836	0.77701	1.2180	220.31	18.705	undefined	undefined	vapor
249.00	1.5000	38.309	0.026104	362.87	402.02	1.6885	0.77212	1.2045	221.21	18.477	undefined	undefined	vapor
250.00	1.5000	38.027	0.026297	363.78	403.22	1.6933	0.76760	1.1919	222.10	18.253	undefined	undefined	vapor
251.00	1.5000	37.753	0.026488	364.68	404.41	1.6980	0.76341	1.1801	222.97	18.034	undefined	undefined	vapor
252.00	1.5000	37.485	0.026678	365.57	405.58	1.7027	0.75954	1.1691	223.82	17.819	undefined	undefined	vapor
253.00	1.5000	37.223	0.026865	366.45	406.75	1.7073	0.75595	1.1588	224.66	17.608	undefined	undefined	vapor
254.00	1.5000	36.967	0.027051	367.32	407.90	1.7119	0.75262	1.1492	225.48	17.401	undefined	undefined	vapor
255.00	1.5000	36.716	0.027236	368.19	409.05	1.7163	0.74955	1.1401	226.30	17.198	undefined	undefined	vapor
256.00	1.5000	36.471	0.027419	369.05	410.18	1.7208	0.74670	1.1316	227.10	16.999	undefined	undefined	vapor
257.00	1.5000	36.232	0.027600	369.91	411.31	1.7252	0.74407	1.1236	227.89	16.804	undefined	undefined	vapor
258.00	1.5000	35.997	0.027780	370.76	412.43	1.7295	0.74164	1.1161	228.66	16.613	undefined	undefined	vapor
259.00	1.5000	35.766	0.027959	371.60	413.54	1.7338	0.73940	1.1090	229.43	16.425	undefined	undefined	vapor
260.00	1.5000	35.540	0.028137	372.44	414.65	1.7381	0.73733	1.1023	230.19	16.241	undefined	undefined	vapor
261.00	1.5000	35.319	0.028314	373.28	415.75	1.7423	0.73542	1.0960	230.94	16.060	undefined	undefined	vapor
262.00	1.5000	35.101	0.028489	374.11	416.84	1.7465	0.73366	1.0901	231.68	15.883	undefined	undefined	vapor
263.00	1.5000	34.888	0.028663	374.93	417.93	1.7506	0.73205	1.0845	232.41	15.710	undefined	undefined	vapor
264.00	1.5000	34.678	0.028836	375.75	419.01	1.7547	0.73057	1.0792	233.13	15.539	undefined	undefined	vapor
265.00	1.5000	34.472	0.029009	376.57	420.08	1.7588	0.72921	1.0741	233.84	15.372	undefined	undefined	vapor
266.00	1.5000	34.270	0.029180	377.39	421.16	1.7629	0.72797	1.0694	234.55	15.208	undefined	undefined	vapor
267.00	1.5000	34.071	0.029350	378.20	422.22	1.7669	0.72684	1.0649	235.25	15.046	undefined	undefined	vapor
268.00	1.5000	33.875	0.029520	379.01	423.29	1.7708	0.72581	1.0607	235.94	14.888	undefined	undefined	vapor
269.00	1.5000	33.683	0.029689	379.81	424.35	1.7748	0.72488	1.0567	236.62	14.733	undefined	undefined	vapor
270.00	1.5000	33.494	0.029856	380.62	425.40	1.7787	0.72404	1.0529	237.30	14.580	undefined	undefined	vapor
