Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	5.0000	1192.3	0.00083869	24.264	28.457	0.12700	0.94216	1.7192	1061.6	-0.24314	undefined	undefined	liquid
201.00	5.0000	1189.3	0.00084081	25.973	30.177	0.13558	0.94115	1.7205	1055.4	-0.24089	undefined	undefined	liquid
202.00	5.0000	1186.3	0.00084294	27.683	31.898	0.14412	0.94016	1.7219	1049.2	-0.23859	undefined	undefined	liquid
203.00	5.0000	1183.3	0.00084509	29.395	33.621	0.15263	0.93919	1.7234	1043.0	-0.23624	undefined	undefined	liquid
204.00	5.0000	1180.3	0.00084725	31.109	35.345	0.16110	0.93824	1.7250	1036.8	-0.23382	undefined	undefined	liquid
205.00	5.0000	1177.2	0.00084944	32.824	37.071	0.16954	0.93730	1.7266	1030.6	-0.23135	undefined	undefined	liquid
206.00	5.0000	1174.2	0.00085164	34.540	38.798	0.17795	0.93639	1.7283	1024.4	-0.22881	undefined	undefined	liquid
207.00	5.0000	1171.1	0.00085387	36.258	40.527	0.18632	0.93549	1.7301	1018.2	-0.22621	undefined	undefined	liquid
208.00	5.0000	1168.1	0.00085611	37.978	42.258	0.19466	0.93461	1.7319	1012.0	-0.22354	undefined	undefined	liquid
209.00	5.0000	1165.0	0.00085838	39.699	43.991	0.20297	0.93375	1.7338	1005.9	-0.22081	undefined	undefined	liquid
210.00	5.0000	1161.9	0.00086066	41.423	45.726	0.21125	0.93290	1.7358	999.68	-0.21801	undefined	undefined	liquid
211.00	5.0000	1158.8	0.00086297	43.148	47.463	0.21950	0.93207	1.7379	993.50	-0.21515	undefined	undefined	liquid
212.00	5.0000	1155.7	0.00086530	44.875	49.202	0.22773	0.93126	1.7400	987.32	-0.21221	undefined	undefined	liquid
213.00	5.0000	1152.5	0.00086765	46.605	50.943	0.23592	0.93046	1.7422	981.13	-0.20920	undefined	undefined	liquid
214.00	5.0000	1149.4	0.00087002	48.336	52.686	0.24409	0.92968	1.7445	974.95	-0.20612	undefined	undefined	liquid
215.00	5.0000	1146.2	0.00087242	50.070	54.432	0.25222	0.92892	1.7469	968.77	-0.20296	undefined	undefined	liquid
216.00	5.0000	1143.1	0.00087484	51.806	56.180	0.26034	0.92817	1.7493	962.58	-0.19972	undefined	undefined	liquid
217.00	5.0000	1139.9	0.00087729	53.544	57.931	0.26842	0.92743	1.7518	956.40	-0.19640	undefined	undefined	liquid
218.00	5.0000	1136.7	0.00087975	55.285	59.684	0.27648	0.92671	1.7544	950.21	-0.19300	undefined	undefined	liquid
