Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	3.0000	1189.0	0.00084101	25.104	27.627	0.13125	0.94117	1.7263	1051.2	-0.23843	undefined	undefined	liquid
201.00	3.0000	1186.0	0.00084316	26.825	29.354	0.13986	0.94016	1.7279	1044.9	-0.23605	undefined	undefined	liquid
202.00	3.0000	1183.0	0.00084534	28.547	31.083	0.14844	0.93918	1.7295	1038.6	-0.23360	undefined	undefined	liquid
203.00	3.0000	1179.9	0.00084753	30.271	32.813	0.15699	0.93821	1.7312	1032.3	-0.23110	undefined	undefined	liquid
204.00	3.0000	1176.8	0.00084975	31.996	34.545	0.16550	0.93727	1.7329	1026.0	-0.22853	undefined	undefined	liquid
205.00	3.0000	1173.7	0.00085198	33.723	36.279	0.17398	0.93634	1.7348	1019.7	-0.22589	undefined	undefined	liquid
206.00	3.0000	1170.6	0.00085424	35.452	38.015	0.18242	0.93543	1.7367	1013.4	-0.22319	undefined	undefined	liquid
207.00	3.0000	1167.5	0.00085651	37.183	39.753	0.19084	0.93454	1.7387	1007.1	-0.22042	undefined	undefined	liquid
208.00	3.0000	1164.4	0.00085881	38.916	41.492	0.19922	0.93366	1.7407	1000.8	-0.21758	undefined	undefined	liquid
209.00	3.0000	1161.3	0.00086113	40.651	43.234	0.20758	0.93281	1.7429	994.53	-0.21467	undefined	undefined	liquid
210.00	3.0000	1158.1	0.00086347	42.388	44.978	0.21590	0.93197	1.7451	988.24	-0.21168	undefined	undefined	liquid
211.00	3.0000	1155.0	0.00086583	44.127	46.724	0.22420	0.93114	1.7474	981.94	-0.20862	undefined	undefined	liquid
212.00	3.0000	1151.8	0.00086822	45.868	48.473	0.23247	0.93034	1.7498	975.64	-0.20548	undefined	undefined	liquid
213.00	3.0000	1148.6	0.00087063	47.612	50.224	0.24071	0.92955	1.7523	969.34	-0.20226	undefined	undefined	liquid
214.00	3.0000	1145.4	0.00087307	49.358	51.977	0.24892	0.92877	1.7548	963.04	-0.19896	undefined	undefined	liquid
215.00	3.0000	1142.2	0.00087553	51.107	53.734	0.25711	0.92802	1.7575	956.74	-0.19558	undefined	undefined	liquid
216.00	3.0000	1138.9	0.00087802	52.858	55.492	0.26527	0.92728	1.7602	950.43	-0.19211	undefined	undefined	liquid
217.00	3.0000	1135.7	0.00088053	54.612	57.254	0.27340	0.92655	1.7630	944.12	-0.18855	undefined	undefined	liquid
218.00	3.0000	1132.4	0.00088307	56.369	59.019	0.28152	0.92584	1.7659	937.80	-0.18490	undefined	undefined	liquid
219.00	3.0000	1129.1	0.00088563	58.129	60.786	0.28961	0.92514	1.7690	931.48	-0.18116	undefined	undefined	liquid
220.00	3.0000	1125.8	0.00088823	59.892	62.556	0.29767	0.92446	1.7721	925.15	-0.17732	undefined	undefined	liquid
221.00	3.0000	1122.5	0.00089085	61.658	64.330	0.30572	0.92380	1.7753	918.81	-0.17338	undefined	undefined	liquid
222.00	3.0000	1119.2	0.00089351	63.427	66.107	0.31374	0.92315	1.7786	912.48	-0.16934	undefined	undefined	liquid
223.00	3.0000	1115.8	0.00089619	65.199	67.887	0.32174	0.92251	1.7820	906.13	-0.16520	undefined	undefined	liquid
224.00	3.0000	1112.5	0.00089890	66.974	69.671	0.32972	0.92189	1.7856	899.78	-0.16094	undefined	undefined	liquid
225.00	3.0000	1109.1	0.00090165	68.754	71.458	0.33768	0.92128	1.7892	893.41	-0.15658	undefined	undefined	liquid
226.00	3.0000	1105.7	0.00090443	70.536	73.250	0.34562	0.92069	1.7930	887.04	-0.15209	undefined	undefined	liquid
227.00	3.0000	1102.2	0.00090724	72.323	75.044	0.35355	0.92011	1.7968	880.67	-0.14749	undefined	undefined	liquid
228.00	3.0000	1098.8	0.00091009	74.113	76.843	0.36146	0.91955	1.8008	874.28	-0.14277	undefined	undefined	liquid
229.00	3.0000	1095.3	0.00091297	75.907	78.646	0.36935	0.91900	1.8049	867.88	-0.13792	undefined	undefined	liquid
230.00	3.0000	1091.8	0.00091589	77.706	80.453	0.37722	0.91846	1.8092	861.47	-0.13293	undefined	undefined	liquid
231.00	3.0000	1088.3	0.00091884	79.508	82.265	0.38508	0.91794	1.8136	855.05	-0.12782	undefined	undefined	liquid
232.00	3.0000	1084.8	0.00092184	81.315	84.080	0.39292	0.91743	1.8181	848.62	-0.12256	undefined	undefined	liquid
233.00	3.0000	1081.2	0.00092487	83.126	85.901	0.40075	0.91694	1.8228	842.17	-0.11715	undefined	undefined	liquid
234.00	3.0000	1077.7	0.00092794	84.942	87.726	0.40857	0.91646	1.8276	835.71	-0.11159	undefined	undefined	liquid
235.00	3.0000	1074.0	0.00093106	86.763	89.556	0.41637	0.91599	1.8325	829.24	-0.10587	undefined	undefined	liquid
236.00	3.0000	1070.4	0.00093422	88.588	91.391	0.42416	0.91554	1.8377	822.75	-0.099995	undefined	undefined	liquid
237.00	3.0000	1066.8	0.00093742	90.419	93.231	0.43195	0.91510	1.8430	816.24	-0.093947	undefined	undefined	liquid
238.00	3.0000	1063.1	0.00094067	92.255	95.077	0.43972	0.91467	1.8484	809.72	-0.087722	undefined	undefined	liquid
239.00	3.0000	1059.4	0.00094396	94.096	96.928	0.44748	0.91426	1.8541	803.18	-0.081314	undefined	undefined	liquid
240.00	3.0000	1055.6	0.00094730	95.943	98.785	0.45523	0.91386	1.8599	796.63	-0.074715	undefined	undefined	liquid
241.00	3.0000	1051.9	0.00095070	97.796	100.65	0.46298	0.91348	1.8659	790.05	-0.067918	undefined	undefined	liquid
242.00	3.0000	1048.1	0.00095414	99.655	102.52	0.47072	0.91311	1.8721	783.45	-0.060913	undefined	undefined	liquid
243.00	3.0000	1044.2	0.00095764	101.52	104.39	0.47845	0.91275	1.8786	776.83	-0.053692	undefined	undefined	liquid
244.00	3.0000	1040.4	0.00096119	103.39	106.27	0.48618	0.91241	1.8852	770.18	-0.046245	undefined	undefined	liquid
245.00	3.0000	1036.5	0.00096481	105.27	108.16	0.49390	0.91208	1.8921	763.51	-0.038563	undefined	undefined	liquid
246.00	3.0000	1032.6	0.00096848	107.15	110.06	0.50163	0.91177	1.8993	756.82	-0.030634	undefined	undefined	liquid
247.00	3.0000	1028.6	0.00097221	109.04	111.96	0.50935	0.91147	1.9067	750.10	-0.022447	undefined	undefined	liquid
248.00	3.0000	1024.6	0.00097600	110.94	113.87	0.51706	0.91119	1.9143	743.35	-0.013989	undefined	undefined	liquid
249.00	3.0000	1020.6	0.00097986	112.85	115.79	0.52478	0.91093	1.9223	736.57	-0.0052479	undefined	undefined	liquid
250.00	3.0000	1016.5	0.00098379	114.77	117.72	0.53250	0.91068	1.9305	729.76	0.0037913	undefined	undefined	liquid
251.00	3.0000	1012.4	0.00098779	116.69	119.65	0.54023	0.91045	1.9391	722.91	0.013144	undefined	undefined	liquid
252.00	3.0000	1008.2	0.00099187	118.62	121.60	0.54796	0.91023	1.9480	716.03	0.022825	undefined	undefined	liquid
253.00	3.0000	1004.0	0.00099602	120.56	123.55	0.55569	0.91003	1.9573	709.11	0.032854	undefined	undefined	liquid
254.00	3.0000	999.75	0.0010002	122.51	125.51	0.56343	0.90985	1.9669	702.15	0.043248	undefined	undefined	liquid
